id,permit_,permit_type,review_type,application_start_date,issue_date,processing_time,street_number,street_direction,street_name,work_description,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,building_fee_subtotal,zoning_fee_subtotal,other_fee_subtotal,zoning_fee_waived,other_fee_waived,subtotal_waived,total_fee,reported_cost,xcoordinate,ycoordinate,latitude,longitude,location,community_area,census_tract,ward,permit_status,permit_milestone,work_type,pin_list,permit_condition
1660968,100101326,PERMIT - SIGNS,SIGN PERMIT,2006-03-13T00:00:00.000,2006-03-13T00:00:00.000,0,2951,N,LINCOLN AVE,FRONT OF BUILDING OVER DOORWAY AND WINDOWS 386978,45,0,0,45,0,0,0,0,0,45,0,0,0,0,0,45,0,1166722.2942638048,1919820.6674130883,41.93555738799787,-87.66269504004724,"{'type': 'Point', 'coordinates': [-87.662695040047, 41.935557387998]}",,,,,,,,
1664246,100103315,PERMIT - SIGNS,SIGN PERMIT,2006-03-23T00:00:00.000,2006-03-23T00:00:00.000,0,6930,S,ASHLAND AVE,FACING EAST 387020,73,0,0,73,0,0,0,0,0,73,0,0,0,0,0,73,0,1166841.3390233635,1858618.597411024,41.7676107590257,-87.66401069778658,"{'type': 'Point', 'coordinates': [-87.664010697787, 41.767610759026]}",,,,,,,,
1664970,100103795,PERMIT - SIGNS,SIGN PERMIT,2006-03-24T00:00:00.000,2006-03-24T00:00:00.000,0,3341,N,HALSTED ST,387065,42,0,0,42,0,0,0,0,0,42,0,0,0,0,0,42,0,1170368.2859635046,1922564.386257102,41.9430072206925,-87.64921541359088,"{'type': 'Point', 'coordinates': [-87.649215413591, 41.943007220693]}",,,,,,,,
1665630,100104153,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2006-03-28T00:00:00.000,2006-03-28T00:00:00.000,0,5833,S,NORMANDY AVE,ERECT 6' TALL PVC FENCE 230 LN FT LONG POST SET IN CONCRETE NO BARBED WIRE.,45,50,0,95,0,0,0,0,0,45,50,0,0,0,0,95,540,1132772.1597040677,1864979.5933596005,41.78572620651657,-87.78874391972401,"{'type': 'Point', 'coordinates': [-87.788743919724, 41.785726206517]}",,,,,,,,
1666487,100104683,PERMIT - SIGNS,SIGN PERMIT,2006-04-03T00:00:00.000,2006-04-05T00:00:00.000,2,5608,N,MILWAUKEE AVE,386138,52,0,0,52,0,0,0,0,0,52,0,0,0,0,0,52,0,1136111.4714485153,1936961.0978824438,41.98319437094411,-87.77478236123955,"{'type': 'Point', 'coordinates': [-87.77478236124, 41.983194370944]}",,,,,,,,
1667803,100105389,PERMIT - SIGNS,SIGN PERMIT,2006-04-03T00:00:00.000,2006-04-03T00:00:00.000,0,5600,S,CICERO AVE,CONCOUSE B SPACE TC20,44,0,0,44,0,0,0,0,0,44,0,0,0,0,0,44,0,1145589.0960634449,1867089.482661434,41.79128370563416,-87.74169686782083,"{'type': 'Point', 'coordinates': [-87.741696867821, 41.791283705634]}",,,,,,,,
1668844,100106076,PERMIT - SIGNS,SIGN PERMIT,2006-04-06T00:00:00.000,2006-04-06T00:00:00.000,0,1503,S,MICHIGAN AVE,FACING NORTH/ SOUTH 387154,58,0,0,58,0,0,0,0,0,58,0,0,0,0,0,58,0,1177505.8433463254,1893039.78673221,41.86183110633302,-87.62387912993134,"{'type': 'Point', 'coordinates': [-87.623879129931, 41.861831106333]}",,,,,,,,
1669550,100106467,PERMIT - SIGNS,SIGN PERMIT,2006-04-07T00:00:00.000,2006-04-07T00:00:00.000,0,5225,S,KEDZIE AVE,ABOVE FRONT DOOR 387124,64,0,0,64,0,0,0,0,0,64,0,0,0,0,0,64,0,1155975.1322768163,1869692.5012275754,41.798224307939904,-87.70354311246204,"{'type': 'Point', 'coordinates': [-87.703543112462, 41.79822430794]}",,,,,,,,
1670276,100106928,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2006-04-11T00:00:00.000,2006-04-11T00:00:00.000,0,1142,E,81ST ST,REPLACE 1 FURNACE,65,0,0,65,0,0,0,0,0,65,0,0,0,0,0,65,0,1185440.13617341,1851567.222062111,41.7478437152607,-87.59606003169495,"{'type': 'Point', 'coordinates': [-87.596060031695, 41.747843715261]}",,,,,,,,
1671154,100107546,PERMIT - SIGNS,SIGN PERMIT,2006-04-13T00:00:00.000,2006-04-13T00:00:00.000,0,449,W,115TH ST,CONRNER OF BUILDING FACING PARKING LOT 387208,70,0,0,70,0,0,0,0,0,70,0,0,0,0,0,70,0,1175159.8672259906,1828606.059855825,41.68507063104386,-87.63441292217391,"{'type': 'Point', 'coordinates': [-87.634412922174, 41.685070631044]}",,,,,,,,
1671435,100107718,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2006-04-14T00:00:00.000,2006-04-14T00:00:00.000,0,1476,W,72ND PL,REPLACE PLUMBING FIXTURES ONLY!,55,0,0,55,0,0,0,0,0,55,0,0,0,0,0,55,0,1167435.0427703203,1856694.7937598808,41.762318888791405,-87.66188955476953,"{'type': 'Point', 'coordinates': [-87.66188955477, 41.762318888791]}",,,,,,,,
1675059,100109943,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2006-04-27T00:00:00.000,2006-04-27T00:00:00.000,0,3253,S,THROOP ST,6 FT WOOD FENCE WITH 124 LN FEET,56,75,0,131,0,0,0,0,0,56,75,0,0,0,0,131,300,1168236.389695926,1883008.6214960504,41.83450983772962,-87.65819502263724,"{'type': 'Point', 'coordinates': [-87.658195022637, 41.83450983773]}",,,,,,,,
