What the hospital calls it,Code,Code type
IV THERAPY - GENERAL CLASSIFICATION,,description
MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION,,description
MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,,description
MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,,description
MEDICAL/SURGICAL SUPPLIES AND DEVICES - PROSTHETIC/ORTHOTIC DEVICES,,description
