DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,SSL,ZONING,FEE_TYPE,FEES_PAID,CITY,STATE,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT,LASTMODIFIEDDATE,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,LAYER_YEAR
251234200714.0,2023-10-18,PC34200714,POST CARD,BUILDING,NA,COMPLETED,"3620 13TH ST NW, WASHINGTON, DC 20010",2828 0077,,33.00 (POSTCARD3);3.30 (BUILDEFEE),36,,,38.93530509,-77.03001398,397397.76,140824.89,,230272.0,,,1,ANC 1A,1A04,FOURTH,408,Cluster 2,,,,,2026-08-14,{59DCBB1A-3BE1-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140672844,2023
141108805.0,2023-03-26,E1108805,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"90 K ST NE, WASHINGTON, DC 20002",0674 0853,C-3-C,52.00 (ELECTRICEFEE);520.00 (MISCITEM23),572,,,38.9028841,-77.00658771,399428.58,137225.48,,289039.0,,,6,ANC 6E,6E07,FIFTH,501,Cluster 25,,,,NoMa BID,2026-08-18,{59DCBB1C-3567-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140802258,2023
1411602621.0,2023-03-26,E11602621,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"4140 7TH ST NW, WASHINGTON, DC 20011",3135 0049,,,399,,,38.94177599,-77.02189356,398101.98,141542.98,,249712.0,,,4,ANC 4C,4C06,FOURTH,407,Cluster 18,,,,,2023-03-31,{59DCBB1C-3A5B-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140803526,2023
141108512.0,2023-03-26,E1108512,SUPPLEMENTAL,ELECTRICAL,NA,EXPIRED,"300 M ST SW 0N100, WASHINGTON, DC 20024",0546 2383,R-5-D,32.00 (ELECTRICEFEE);320.00 (MISCITEM23),352,,,38.87591562,-77.01648598,398569.46,134231.84,,145250.0,,,6,ANC 6D,6D07,FIRST,105,Cluster 9,,,,,2026-08-11,{59DCBB1C-C125-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140838032,2023
142312570.0,2023-09-12,E2312570,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,"1106 VARNEY ST SE, WASHINGTON, DC 20032",5928 0079,R-2,,79,,,38.83617006,-76.9895747,400905.14,129819.72,,279188.0,,,8,ANC 8E,8E04,SEVENTH,706,Cluster 39,,,,,2023-09-13,{59DCBB1D-C030-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140903323,2023
11252304108.0,2023-08-29,BP2304108,POST CARD,BUILDING,NA,EXPIRED,"2354 GREEN ST SE, WASHINGTON, DC 20020",5754 0028,RA-1,3.30 (BUILDEFEE);33.00 (POSTCARD3),36,,,38.86113166,-76.98062694,401681.41,132590.76,,48048.0,,,8,ANC 8A,8A04,SEVENTH,701,Cluster 28,,,,,2026-08-18,{59DCBB1D-C032-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140903325,2023
142307264.0,2023-04-21,E2307264,SUPPLEMENTAL,ELECTRICAL,NA,EXPIRED,"4010 9TH ST SE, WASHINGTON, DC 20032",5924 0090,RA-1,4.60 (ELECTRICEFEE);46.00 (TRANSFORM2),51,,,38.83224622,-76.99037964,400835.3,129384.14,,28189.0,,,8,ANC 8E,8E06,SEVENTH,706,Cluster 39,,,,,2026-08-18,{59DCBB1D-C033-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140903326,2023
10172300548.0,2023-02-17,AH2300548,CONSTRUCTION,MISCELLANEOUS,AFTER HOURS,EXPIRED,"125 E ST NW, WASHINGTON, DC 20001",0569 0060,,33.00 (MISC);3.30 (MISCEFFE),36,,,38.89638698,-77.01319796,398855.1,136504.31,,331903.0,,,6,ANC 6E,6E08,FIRST,101,Cluster 8,,,,Downtown BID,2026-08-18,{59DCBB1E-0C2A-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922773,2023
10172300564.0,2023-02-17,AH2300564,CONSTRUCTION,MISCELLANEOUS,AFTER HOURS,EXPIRED,"1111 20TH ST NW, WASHINGTON, DC 20526",0117 0084,,33.00 (MISC);3.30 (MISCEFFE),36,,,38.90405189,-77.04462713,396129.09,137356.04,,278855.0,,,2,ANC 2C,2C02,SECOND,207,Cluster 6,,,,Golden Triangle BID,2026-08-18,{59DCBB1E-0C2B-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922774,2023
10172300570.0,2023-02-17,AH2300570,CONSTRUCTION,MISCELLANEOUS,AFTER HOURS,EXPIRED,"1 WASHINGTON CIR NW, WASHINGTON, DC 20037",0052 0805,RA-5,33.00 (MISC);3.30 (MISCEFFE),36,,,38.90339824,-77.04977212,395682.78,137283.71,,242366.0,,,2,ANC 2A,2A08,SECOND,207,Cluster 5,,,,,2026-08-07,{59DCBB1E-0C2C-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922775,2023
142304963.0,2023-02-17,E2304963,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,"5539 JAY ST NE, WASHINGTON, DC 20019",5213E 0024,R-2,,122,,,38.89859208,-76.91950032,406982.99,136752.09,,7752.0,,,7,ANC 7C,7C06,SIXTH,608,Cluster 31,,,,,2023-02-28,{59DCBB1E-0C2D-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922776,2023
142304965.0,2023-02-17,E2304965,SUPPLEMENTAL,ELECTRICAL,NA,EXPIRED,"4943 FITCH PL NE, WASHINGTON, DC 20019",5184 0052,,,108,,,38.8961363,-76.93012644,406061.43,136478.72,,318382.0,,,7,ANC 7C,7C03,SIXTH,602,Cluster 31,,,,,2025-08-05,{59DCBB1E-0C2E-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922777,2023
142304971.0,2023-02-17,E2304971,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,"3615 14TH ST NE, WASHINGTON, DC 20017",4004 0020,R-1-B,40.00 (WIRING);20.00 (MISCITEM22);12.30 (ELECTRICEFEE);24.00 (FIXTURES);39.00 (METER1),135,,,38.93433611,-76.98624428,401192.65,140716.95,,32781.0,,,5,ANC 5B,5B02,FIFTH,504,Cluster 22,,,,,2026-08-18,{59DCBB1E-0C2F-5195-E063-792F520A93BD},2026-08-25,2026-08-25,1140922778,2023

Data retrieved from Open Data DC catalog (https://opendata.dc.gov)
Creative Commons Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0
Person columns stripped (PERMIT_APPLICANT, OWNER_NAME, CREATED_USER, LAST_EDITED_USER). DESC_OF_WORK removed. Rows assembled into dated slices by USTechAutomations.
The underlying District data itself stays CC BY 4.0 in the buyer's hands. We charge for assembly and delivery, not for rights to the data. The District's free portal remains at opendata.dc.gov.
