permit_nbr,primary_address,zip_code,cd,pin_nbr,apn,zone,apc,cpa,cnc,ct,permit_group,permit_type,permit_sub_type,use_code,use_desc,issue_date,status_desc,status_date,valuation,type_lat_lon,lat,lon,work_desc,ev,solar,business_unit,refresh_time,geolocation,submitted_date,cofo_date,adu_changed,square_footage,construction,hl,height,du_changed,junior_adu
20014-20001-04311,6832 N COSTELLO AVE,91405,2,183B153 998,2216016017,R1-1,South Valley,Van Nuys - North Sherman Oaks,Van Nuys,1279.20,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2021-08-25T00:00:00.000,Permit Finaled,2022-03-30T00:00:00.000,501,ADDRESS,34.19505,-118.43766,SUPPL. PERMIT TO 20014-20000-04311 TO CHANGE THE ENGINEER OF RECORD AND TO REVISE AREA OF ROOF TO BE RE-FRAMED (638.56 SQ.FT.),N,N,Plan Check at Counter,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.43766, 34.19505]}",2021-05-14T00:00:00.000,,,,,,,,
23016-20000-26453,14382-14384 W BEAVER ST,91342,7,219B149 637,2507025002,R1-1,North Valley,Sylmar,Sylmar,1070.20,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2023-10-06T00:00:00.000,CofO Issued,2024-05-03T00:00:00.000,38000,ADDRESS,34.29566,-118.44665,"CONVERT (E) ATTACHED GARAGE INTO A (N) 20'-0"" x 19'-0"" ACCESSORY DWELLING UNIT TO COMPLY WITH GCS 65852.2(e)(1)(A) PER ENGINEERING",N,N,Expanded Counter Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.44665, 34.29566]}",2023-08-08T00:00:00.000,2024-05-03T00:00:00.000,1,380,Type V-B Construction,,,,
22010-10001-05057,1639 S AMHERST AVE,90025,11,123B145 29,4259005026,R1-1,West Los Angeles,West Los Angeles,West Los Angeles Sawtelle,2675.02,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2023-07-10T00:00:00.000,Permit Finaled,2024-02-06T00:00:00.000,10000,BUILDING,34.03717657,-118.46133492,ePlan revise foundation from slab on grade to 2-way post tension slabSupplemental to 22010-10000-05057,N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.46133492, 34.03717657]}",2023-04-18T00:00:00.000,,,,,,,,
24014-20000-02502,17118-17120 W CANTLAY ST,91406,6,183B133 62,2227018002,R1-1,South Valley,Reseda - West Van Nuys,Lake Balboa,1319.00,Building,Bldg-Addition,1 or 2 Family Dwelling,1,Dwelling - Single Family,2024-07-08T00:00:00.000,Issued,2024-07-08T00:00:00.000,60000,ADDRESS,34.20197,-118.50606,EPLAN ADDITION TO (E) SFD WITH (E) ATT ADU,N,N,Expanded Counter Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.50606, 34.20197]}",2024-06-10T00:00:00.000,,0,622,Type V-B Construction,,,0,
21010-20000-03108,11142 N NEWCASTLE AVE,91344,12,210B125 247,2715035051,RE20-1,North Valley,Granada Hills - Knollwood,Northridge East,1112.06,Building,Bldg-New,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,2021-11-23T00:00:00.000,CofO Issued,2022-04-21T00:00:00.000,112000,BUILDING,34.27345383,-118.52675425,"NEW 1-STORY 46'-0"" X 25'-1"", 1,036 SQ. FT. ACCESSORY DWELLING UNIT PER LAMC 12.22A33(C)-(D). NFPA 13D FIRE SPRINKLERS REQUIRED THROUGHOUT. ALL WORK PER ENGINEERING. The LID clearance has been deferred. Approval for LID requirements shall be obtained from LASAN prior to the finaling of the permit.",N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.52675425, 34.27345383]}",2021-06-23T00:00:00.000,2022-04-21T00:00:00.000,1,1036,Type V-B Construction,YES,14.25,,
23026-20000-00147,15120 W VANOWEN ST,91405,6,180B145 47,2235004036,R3-1-RIO,South Valley,Van Nuys - North Sherman Oaks,Van Nuys,1278.05,Building,Nonbldg-Alter/Repair,Apartment,20,Pool/Spa - Private,2023-08-25T00:00:00.000,Issued,2023-08-25T00:00:00.000,8600,ADDRESS,34.19368,-118.46259,"Re-plaster existing swimming pool (a separate express mechanical permit for new skimmer(s) and a separate express electrical permit for new pool luminaire is required, when applicable, except for one or two-family dwellings).",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.46259, 34.19368]}",,,,,,,,,
20010-20001-00151,27618 S UPTON TER,90732,15,027B193 372,7442039013,PVSP,Harbor,Wilmington - Harbor City,Northwest San Pedro,9800.15,Building,Bldg-Addition,1 or 2 Family Dwelling,1,Dwelling - Single Family,2021-03-23T00:00:00.000,Permit Finaled,2021-06-12T00:00:00.000,7500,ADDRESS,33.76971,-118.30806,SUPPLEMENT TO 20010-20000-00151 TO ADD 16SF AND REVISE PLANS (NO CHANGE IN FOOTPRINT),N,N,Regular Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.30806, 33.76971]}",2020-12-09T00:00:00.000,,,16,Type V-B Construction,,,,
19014-20001-04420,6614 N LINDLEY AVE,91335,3,180B125 414,2122030003,R1-1-RIO,South Valley,Reseda - West Van Nuys,Reseda,1327.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,2021-12-01T00:00:00.000,Permit Finaled,2022-04-12T00:00:00.000,501,BUILDING,34.19072048,-118.52683154,"SUPPL. PERMIT TO 19014-20000-04420 TO REVISE THE SCOPE OF WORK TO CONVERT THE (E) DETACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER GCS65852.2(e)(1)(A), PER WFPP",N,N,Expanded Counter Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.52683154, 34.19072048]}",2021-09-24T00:00:00.000,,0,361,Type V-B Construction,,,,
24016-10000-16309,1421 W ADAMS BLVD 204,90007,8,123B197 825,5054027031,C2-2D-HPOZ-CPIO,South Los Angeles,South Los Angeles,Empowerment Congress North Area,2216.01,Building,Bldg-Alter/Repair,Apartment,5,Apartment,2024-06-24T00:00:00.000,Permit Finaled,2025-08-22T00:00:00.000,5000,ADDRESS,34.03291,-118.29216,Eplan. Interior remodel to existing apartment unit to add bedrooms.,N,N,Expanded Counter Plan Check,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.29216, 34.03291]}",2024-05-17T00:00:00.000,,,,,,,,
22016-10000-02736,114 S CRESCENT HEIGHTS BLVD,90048,5,138B177 625,5511022004,R1V3,Central,Wilshire,Mid City West,2146.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,2022-05-11T00:00:00.000,CofO Issued,2023-11-14T00:00:00.000,20000,ADDRESS,34.07368,-118.36568,CONVERT EXISTING DETACHED GARAGE TO ADU PER GCS 65852.2(e)(1)(A),N,N,Plan Check at Counter,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.36568, 34.07368]}",2022-01-28T00:00:00.000,2023-11-14T00:00:00.000,1,229,Type V-B Construction,,11.62,,
22016-10000-09947,7033 S 2ND AVE,90043,8,102B189 1119,4008021022,R1-1,South Los Angeles,West Adams - Baldwin Hills - Leimert,Park Mesa Heights,2352.01,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2022-03-31T00:00:00.000,Permit Finaled,2022-06-01T00:00:00.000,18000,ADDRESS,33.97546,-118.31982,Kitchen/bathroom remodel for residential buildings (no structural changes). COMBINED WITH PLUMBING.,N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.31982, 33.97546]}",,,,,,,,,
24016-30000-15206,6404 W RODGERTON DR,90068,4,157-5A189 257,5582020017,R1-1,Central,Hollywood,Hollywood United,1894.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,2024-05-08T00:00:00.000,Issued,2024-05-08T00:00:00.000,7000,ADDRESS,34.12405,-118.32244,"Remove existing roof tiles, apply new underlayment and reset roof tiles (Cool roof compliance is not required)",N,N,Express Permit,2026-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-118.32244, 34.12405]}",,,,,,YES,,,
